country,city,lat,lon,region
Albania,Tirana,41.32,19.82,Europe
Andorra,Andorra la Vella,42.5,1.52,Europe
Austria,Vienna,48.2,16.37,Europe
Belarus,Minsk,53.9,27.57,Europe
Belgium,Brussels,50.83,4.33,Europe
Bosnia and Herzegovina,Sarajevo,43.87,18.42,Europe
Bulgaria,Sofia,42.68,23.32,Europe
Croatia,Zagreb,45.8,16.0,Europe
Cyprus,Nicosia,35.17,33.37,Europe
Czechia,Prague,50.08,14.47,Europe
Denmark,Copenhagen,55.67,12.58,Europe
Estonia,Tallinn,59.43,24.72,Europe
Faroe Islands,Tórshavn,62.01,-6.77,Europe
Finland,Helsinki,60.17,24.93,Europe
France,Paris,48.87,2.33,Europe
Germany,Berlin,52.52,13.4,Europe
Gibraltar,Gibraltar,36.13,-5.35,Europe
Greece,Athens,37.98,23.73,Europe
Guernsey,St. Peter Port,49.45,-2.54,Europe
Hungary,Budapest,47.5,19.08,Europe
Iceland,Reykjavik,64.15,-21.95,Europe
Ireland,Dublin,53.32,-6.23,Europe
Isle of Man,Douglas,54.15,-4.48,Europe
Italy,Rome,41.9,12.48,Europe
Jersey,Saint Helier,49.18,-2.1,Europe
Kosovo,Pristina,42.67,21.17,Europe
Latvia,Riga,56.95,24.1,Europe
Liechtenstein,Vaduz,47.13,9.52,Europe
Lithuania,Vilnius,54.68,25.32,Europe
Luxembourg,Luxembourg,49.6,6.12,Europe
Malta,Valletta,35.88,14.5,Europe
Moldova,Chișinău,47.01,28.9,Europe
Monaco,Monaco,43.73,7.42,Europe
Montenegro,Podgorica,42.43,19.27,Europe
Netherlands,Amsterdam,52.35,4.92,Europe
North Macedonia,Skopje,42.0,21.43,Europe
Norway,Oslo,59.92,10.75,Europe
Poland,Warsaw,52.25,21.0,Europe
Portugal,Lisbon,38.72,-9.13,Europe
Romania,Bucharest,44.43,26.1,Europe
Russia,Moscow,55.75,37.6,Europe
San Marino,City of San Marino,43.94,12.45,Europe
Serbia,Belgrade,44.83,20.5,Europe
Slovakia,Bratislava,48.15,17.12,Europe
Slovenia,Ljubljana,46.05,14.52,Europe
Spain,Madrid,40.4,-3.68,Europe
Svalbard and Jan Mayen,Longyearbyen,78.22,15.63,Europe
Sweden,Stockholm,59.33,18.05,Europe
Switzerland,Bern,46.92,7.47,Europe
Ukraine,Kyiv,50.43,30.52,Europe
United Kingdom,London,51.5,-0.08,Europe
Vatican City,Vatican City,41.9,12.45,Europe
Åland Islands,Mariehamn,60.12,19.9,Europe
Brunei,Bandar Seri Begawan,4.88,114.93,SE_Asia
Cambodia,Phnom Penh,11.55,104.92,SE_Asia
Indonesia,Jakarta,-6.17,106.82,SE_Asia
Laos,Vientiane,17.97,102.6,SE_Asia
Malaysia,Kuala Lumpur,3.17,101.7,SE_Asia
Myanmar,Naypyidaw,19.76,96.07,SE_Asia
Philippines,Manila,14.6,120.97,SE_Asia
Singapore,Singapore,1.28,103.85,SE_Asia
Thailand,Bangkok,13.75,100.52,SE_Asia
Timor-Leste,Dili,-8.58,125.6,SE_Asia
Vietnam,Hanoi,21.03,105.85,SE_Asia
